Sample,numGrains,0-23 Ma,23-65 Ma,65-85 Ma,85-100 Ma,100-135 Ma,135-200 Ma,200-300 Ma,300-500 Ma,500-4500 Ma,0-23 Ma (%),23-65 Ma (%),65-85 Ma (%),85-100 Ma (%),100-135 Ma (%),135-200 Ma (%),200-300 Ma (%),300-500 Ma (%),500-4500 Ma (%)
Point of Rocks Sandstone,298.0,0,11,5,104,116,36,4,0,22,0.0,0.03691275167785235,0.016778523489932886,0.348993288590604,0.38926174496644295,0.12080536912751678,0.013422818791946308,0.0,0.0738255033557047
Butano Sandstone,494.0,0,0,16,118,47,223,48,3,39,0.0,0.0,0.032388663967611336,0.2388663967611336,0.0951417004048583,0.451417004048583,0.09716599190283401,0.006072874493927126,0.07894736842105263
