Sample,N,YSG,YSG_err1s,YC1S WM,YC1S WM 1serr,YC1S WM MSWD,YC1S cluster size,YC2S WM,YC2S WM 1serr,YC2S WM MSWD,YC2S cluster size
POR-1,100,43.43500851336782,0.8100384095577873,88.06827782639917,0.9719469675051078,0.8513245125753852,3,90.6773330945945,0.4990327107302915,1.0535919616451725,13
POR-2,97,42.96919594561263,0.800852038337176,47.16135197174013,0.5348765639964526,1.6201423506085908,2,49.15705740784268,0.2939683397908823,1.423400458767368,5
POR-3,101,45.13831407280074,6.8794994529228966,87.83940404296064,0.8838154940926558,0.5094942636376092,5,90.44402071229241,0.4553390945680675,1.3238260413990028,12
